Name NL;Name FR;Name DE;X;Y;NIS
Drogenbos;Drogenbos;Drogenbos;4,3171;50,7867;23098
Duffel;Duffel;Duffel;4,5057;51,0952;12009
Durbuy;Durbuy;Durbuy;5,4964;50,3518;83012
Écaussinnes;Écaussinnes;Écaussinnes;4,1751;50,5693;55050
Edegem;Edegem;Edegem;4,4454;51,1545;11013
Edingen;Enghien;Enghien;4,0407;50,6956;51067
Eeklo;Eeklo;Eeklo;3,5663;51,1846;43005
Éghezée;Éghezée;Éghezée;4,906;50,5917;92035
Ellezelles;Ellezelles;Ellezelles;3,6813;50,7337;51017
Elsene;Ixelles;Ixelles;4,3678;50,8325;21009
Engis;Engis;Engis;5,404;50,5828;61080
Érezée;Érezée;Érezée;5,5578;50,2936;83013
Erpe-Mere;Erpe-Mere;Erpe-Mere;3,9437;50,9238;41082
Erquelinnes;Erquelinnes;Erquelinnes;4,1219;50,31;56022
Esneux;Esneux;Esneux;5,5682;50,5338;62032
Essen;Essen;Essen;4,4726;51,4647;11016
Estaimpuis;Estaimpuis;Estaimpuis;3,2702;50,6869;57027
Estinnes;Estinnes;Estinnes;4,0978;50,3971;58003
Étalle;Étalle;Étalle;5,6016;49,6737;85009
Etterbeek;Etterbeek;Etterbeek;4,3868;50,8363;21005
Eupen;Eupen;Eupen;6,0298;50,6321;63023
Evere;Evere;Evere;4,4034;50,8725;21006
Evergem;Evergem;Evergem;3,7077;51,1106;44019
Faimes;Faimes;Faimes;5,252;50,6573;64076
Farciennes;Farciennes;Farciennes;4,5465;50,4315;52018
Fauvillers;Fauvillers;Fauvillers;5,6667;49,8507;82009
Fernelmont;Fernelmont;Fernelmont;4,9842;50,5563;92138
Ferrières;Ferrières;Ferrières;5,6061;50,4001;61019
Fexhe-le-Haut-Clocher;Fexhe-le-Haut-Clocher;Fexhe-le-Haut-Clocher;5,3991;50,6641;64025
Flémalle;Flémalle;Flémalle;5,4701;50,5991;62120
Fléron;Fléron;Fléron;5,6815;50,6171;62038
Fleurus;Fleurus;Fleurus;4,552;50,488;52021
Floreffe;Floreffe;Floreffe;4,7598;50,4367;92045
Florennes;Florennes;Florennes;4,6023;50,2513;93022
Florenville;Florenville;Florenville;5,3101;49,7007;85011
Fontaine-l'Évêque;Fontaine-l'Évêque;Fontaine-l'Évêque;4,3242;50,4123;52022
Fosses-la-Ville;Fosses-la-Ville;Fosses-la-Ville;4,6968;50,3966;92048
Frameries;Frameries;Frameries;3,8916;50,4113;53028
Frasnes-lez-Anvaing;Frasnes-lez-Anvaing;Frasnes-lez-Anvaing;3,6185;50,6667;51065
Froidchapelle;Froidchapelle;Froidchapelle;4,3295;50,1511;56029
Galmaarden;Galmaarden;Galmaarden;3,9706;50,7539;23023
Ganshoren;Ganshoren;Ganshoren;4,3078;50,8699;21008
Gavere;Gavere;Gavere;3,66;50,9277;44020
Gedinne;Gedinne;Gedinne;4,9367;49,9807;91054
Geel;Geel;Geel;4,987;51,1613;13008
Geer;Geer;Geer;5,1709;50,6682;64029
Geetbets;Geetbets;Geetbets;5,1148;50,8913;24028
Gembloux;Gembloux;Gembloux;4,6942;50,5599;92142
Genappe;Genappe;Genappe;4,4453;50,6105;25031
Genk;Genk;Genk;5,4949;50,9652;71016
Gent;Gent;Gent;3,7249;51,0545;44021
Geraardsbergen;Geraardsbergen;Geraardsbergen;3,883;50,772;41018
Gerpinnes;Gerpinnes;Gerpinnes;4,5284;50,3381;52025
Gesves;Gesves;Gesves;5,0666;50,4057;92054
Gingelom;Gingelom;Gingelom;5,135;50,7499;71017
Gistel;Gistel;Gistel;2,9614;51,1541;35005
Glabbeek;Glabbeek;Glabbeek;4,9566;50,8721;24137
